# turn             x            px             y            py             z            pz   track state
     1   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.70000E-02            -9
     2   3.28490E-05  -5.09154E-06   0.00000E+00   0.00000E+00  -1.27880E-06   1.70000E-02            -9
     3   5.26598E-05   2.02134E-06   0.00000E+00   0.00000E+00  -2.51281E-06   1.70000E-02            -9
     4   1.19339E-05   4.29056E-06   0.00000E+00   0.00000E+00  -3.76703E-06   1.70000E-02            -9
     5   8.30473E-06  -3.72802E-06   0.00000E+00   0.00000E+00  -5.05356E-06   1.70000E-02            -9
     6   5.04705E-05  -2.80714E-06   0.00000E+00   0.00000E+00  -6.31284E-06   1.70000E-02            -9
     7   3.73492E-05   4.84061E-06   0.00000E+00   0.00000E+00  -7.54441E-06   1.70000E-02            -9
     8   4.00929E-07   8.86227E-07   0.00000E+00   0.00000E+00  -8.81990E-06   1.70000E-02            -9
     9   2.81898E-05  -5.19351E-06   0.00000E+00   0.00000E+00  -1.01014E-05   1.70000E-02            -9
    10   5.41099E-05   1.17650E-06   0.00000E+00   0.00000E+00  -1.13388E-05   1.70000E-02            -9
    11   1.60161E-05   4.72737E-06   0.00000E+00   0.00000E+00  -1.25879E-05   1.70000E-02            -9
    12   5.23466E-06  -3.05622E-06   0.00000E+00   0.00000E+00  -1.38739E-05   1.70000E-02            -9
    13   4.76061E-05  -3.51093E-06   0.00000E+00   0.00000E+00  -1.51381E-05   1.70000E-02            -9
    14   4.15586E-05   4.44813E-06   0.00000E+00   0.00000E+00  -1.63682E-05   1.70000E-02            -9
    15   1.59200E-06   1.74646E-06   0.00000E+00   0.00000E+00  -1.76399E-05   1.70000E-02            -9
    16   2.35081E-05  -5.14349E-06   0.00000E+00   0.00000E+00  -1.89235E-05   1.70000E-02            -9
    17   5.47782E-05   2.97289E-07   0.00000E+00   0.00000E+00  -2.01649E-05   1.70000E-02            -9
    18   2.04319E-05   5.02571E-06   0.00000E+00   0.00000E+00  -2.14092E-05   1.70000E-02            -9
